28,5
34,4
38,5
43,0
48,0
55,0
57,22
60,0
67,16
69,17
75,7
80,15
86,19
92,4
94,11
96,0
112,0
126,3
133,18
137,0
186,0
190,2
212,2
216,9
218,2
235,0
238,3
255,10
275,12
295,0
318,0
320,6
326,19
328,0
330,4
339,2
341,15
351,0
375,5
392,4
396,0
397,3
398,23
403,6
410,3
413,3
414,0
425,0
438,15
439,0
453,1
455,0
471,10
473,2
474,0
492,15
500,0
501,8
522,0
524,2
553,3
563,4
584,0
587,11
590,4
597,2
604,0
606,1
679,18
702,22
736,18
772,4
790,3
804,7
812,6
816,5
865,1
866,14
898,5
932,0
933,22
953,9
993,2
999,0
1003,7
1004,3
1020,23
1025,17
1028,0
1050,18
1058,6
1115,4
1118,13
1125,3
1129,4
1140,0
1142,0
1152,0
1157,11
1163,0
